campo|business_term|spiegazione|obbligatorio|numerosità|condizionalità|offset|lunghezza
cbc.IdentificationCode|EXT|UBL PEPPOL cbc.IdentificationCode|X|1..1||cac:AccountingCustomerParty/cac:Party/cac:AgentParty/cac:PostalAddress/cac:Country/cbc:IdentificationCode|
cac.PowerOfAttorney|EXT|UBL PEPPOL cac.PowerOfAttorney||0..1||cac:AccountingCustomerParty/cac:Party/cac:PowerOfAttorney|
cbc.Description|EXT|UBL PEPPOL cbc.Description|X|1..1||cac:AccountingCustomerParty/cac:Party/cac:PowerOfAttorney/cbc:Description|
cac.AgentParty|EXT|UBL PEPPOL cac.AgentParty|X|1..1||cac:AccountingCustomerParty/cac:Party/cac:PowerOfAttorney/cac:AgentParty|
cac.PartyTaxScheme|EXT|UBL PEPPOL cac.PartyTaxScheme|X|1..1||cac:AccountingCustomerParty/cac:Party/cac:PowerOfAttorney/cac:AgentParty/cac:PartyTaxScheme|
cbc.CompanyID|EXT|UBL PEPPOL cbc.CompanyID|X|1..1||cac:AccountingCustomerParty/cac:Party/cac:PowerOfAttorney/cac:AgentParty/cac:PartyTaxScheme/cbc:CompanyID|
cac.TaxScheme|EXT|UBL PEPPOL cac.TaxScheme|X|1..1||cac:AccountingCustomerParty/cac:Party/cac:PowerOfAttorney/cac:AgentParty/cac:PartyTaxScheme/cac:TaxScheme|
cbc.ID|EXT|UBL PEPPOL cbc.ID|X|1..1||cac:AccountingCustomerParty/cac:Party/cac:PowerOfAttorney/cac:AgentParty/cac:PartyTaxScheme/cac:TaxScheme/cbc:ID|
cac.PartyLegalEntity|EXT|UBL PEPPOL cac.PartyLegalEntity|X|1..1||cac:AccountingCustomerParty/cac:Party/cac:PowerOfAttorney/cac:AgentParty/cac:PartyLegalEntity|
cbc.RegistrationName|EXT|UBL PEPPOL cbc.RegistrationName|X|1..1||cac:AccountingCustomerParty/cac:Party/cac:PowerOfAttorney/cac:AgentParty/cac:PartyLegalEntity/cbc:RegistrationName|
cac.Person|EXT|UBL PEPPOL cac.Person||0..1||cac:AccountingCustomerParty/cac:Party/cac:PowerOfAttorney/cac:AgentParty/cac:Person|
cbc.FirstName|EXT|UBL PEPPOL cbc.FirstName|X|1..1||cac:AccountingCustomerParty/cac:Party/cac:PowerOfAttorney/cac:AgentParty/cac:Person/cbc:FirstName|
