campo,business_term,spiegazione,obbligatorio,numerosità,condizionalità,calcolo,offset,lunghezza,xmlpath
E1EDK14.ORGID,IDOC organization,IDOC organization,NO,0..1,,,3079,20,/IDOC/E1EDK14/ORGID
E1EDK14.QUALF,IDOC qualifer organization,IDOC qualifer organization,NO,0..1,IF er organization,,3099,3,/IDOC/E1EDK14/QUALF
E1EDK14.ORGID,IDOC organization,IDOC organization,NO,0..1,,,3102,20,/IDOC/E1EDK14/ORGID
E1EDK14.QUALF,IDOC qualifer organization,IDOC qualifer organization,NO,0..1,IF er organization,,3122,3,/IDOC/E1EDK14/QUALF
E1EDK14.ORGID,IDOC organization,IDOC organization,NO,0..1,,,3125,20,/IDOC/E1EDK14/ORGID
E1EDK14.QUALF,IDOC qualifer organization,IDOC qualifer organization,NO,0..1,IF er organization,,3145,3,/IDOC/E1EDK14/QUALF
E1EDK14.ORGID,IDOC organization,IDOC organization,NO,0..1,,,3148,20,/IDOC/E1EDK14/ORGID
E1EDK14.QUALF,IDOC qualifer organization,IDOC qualifer organization,NO,0..1,IF er organization,,3168,3,/IDOC/E1EDK14/QUALF
E1EDK14.ORGID,IDOC organization,IDOC organization,NO,0..1,,,3171,20,/IDOC/E1EDK14/ORGID
E1EDP01.POSEX,Item number,Item number,SI,1..N,,,3191,6,/IDOC/E1EDP01/POSEX
E1EDP01.MENGE,Quantity,Quantity,SI,1..N,,,3197,15,/IDOC/E1EDP01/MENGE
E1EDP01.MENEE,Unit of measure,Unit of measure,NO,1..N,,,3212,10,/IDOC/E1EDP01/MENEE
E1EDP01.NTGEW,Net weight,Net weight,NO,1..N,,,3222,15,/IDOC/E1EDP01/NTGEW
E1EDP01.GEWEI,Weight unit,Weight unit,NO,1..N,,,3237,3,/IDOC/E1EDP01/GEWEI
E1EDP01.BRGEW,Total weight,Total weight,NO,1..N,,,3240,15,/IDOC/E1EDP01/BRGEW
E1EDP01.PSTYV,Sales document item category,Sales document item category,NO,1..N,,,3255,10,/IDOC/E1EDP01/PSTYV
E1EDP01.WERKS,Plant,Plant,NO,1..N,,,3265,10,/IDOC/E1EDP01/WERKS
E1EDP02.QUALF,IDOC qualifier reference docum,IDOC qualifier reference docum,NO,1..N,IF ier reference docum,,3275,3,/IDOC/E1EDP02/QUALF
E1EDP02.QUALF,IDOC qualifier reference docum,IDOC qualifier reference docum,NO,1..N,IF ier reference docum,,3278,3,/IDOC/E1EDP02/QUALF
E1EDP02.BELNR,IDOC document number,IDOC document number,SI,1..N,,,3281,35,/IDOC/E1EDP02/BELNR
E1EDP02.ZEILE,Item number,Item number,NO,1..N,,,3316,20,/IDOC/E1EDP02/ZEILE
E1EDP02.QUALF,IDOC qualifier reference docum,IDOC qualifier reference docum,NO,1..N,IF ier reference docum,,3336,3,/IDOC/E1EDP02/QUALF
E1EDP02.BELNR,IDOC document number,IDOC document number,SI,1..N,,,3339,35,/IDOC/E1EDP02/BELNR
E1EDP02.ZEILE,Item number,Item number,NO,1..N,,,3374,20,/IDOC/E1EDP02/ZEILE
E1EDP02.DATUM,IDOC,IDOC: Date,SI,1..N,,,3394,8,/IDOC/E1EDP02/DATUM
E1EDP02.QUALF,IDOC qualifier reference docum,IDOC qualifier reference docum,NO,1..N,IF ier reference docum,,3402,3,/IDOC/E1EDP02/QUALF
E1EDP02.BELNR,IDOC document number,IDOC document number,SI,1..N,,,3405,35,/IDOC/E1EDP02/BELNR
E1EDP02.QUALF,IDOC qualifier reference docum,IDOC qualifier reference docum,NO,1..N,IF ier reference docum,,3440,3,/IDOC/E1EDP02/QUALF
E1EDP02.BELNR,IDOC document number,IDOC document number,SI,1..N,,,3443,35,/IDOC/E1EDP02/BELNR
E1EDP02.DATUM,IDOC,IDOC: Date,SI,1..N,,,3478,8,/IDOC/E1EDP02/DATUM
E1EDP03.IDDAT,Qualifier for IDOC date segmen,Qualifier for IDOC date segmen,NO,1..N,IF ier for idoc date segmen,,3486,3,/IDOC/E1EDP03/IDDAT
E1EDP03.DATUM,Date,Date,SI,1..N,,,3489,8,/IDOC/E1EDP03/DATUM
