segmento completo,Description,offset,lunghezza,valore rilevato
E1EDP03.DATUM,Date,,,
E1EDP03.SEGNUM,Segment Number,,,
E1EDP03.SEGNAM,Segment Name,,,
E1EDP03.IDDAT,Qualifier for IDOC date segmen,,,
E1EDP03.DATUM,Date,,,
E1EDP03.SEGNUM,Segment Number,,,
E1EDP03.SEGNAM,Segment Name,,,
E1EDP03.IDDAT,Qualifier for IDOC date segmen,,,
E1EDP03.DATUM,Date,,,
E1EDP19.SEGNUM,Segment Number,,,
E1EDP19.SEGNAM,Segment Name,,,
E1EDP19.QUALF,IDOC object identification suc,,,
E1EDP19.IDTNR,IDOC material ID,,,
E1EDP19.KTEXT,IDOC short text,,,
E1EDP19.IDTNR_LONG,IDOC material ID,,,
E1EDP26.QUALF,Qualifier amount,,,
E1EDP26.BETRG,Total value of sum segment,67,8,71918.23
E1EDP26.QUALF,Qualifier amount,,,
E1EDP26.BETRG,Total value of sum segment,,,
E1EDP26.QUALF,Qualifier amount,,,
E1EDP26.BETRG,Total value of sum segment,,,
E1EDP26.QUALF,Qualifier amount,,,
E1EDP26.BETRG,Total value of sum segment,,,
E1EDP05.ALCKZ,Surcharge or discount indicato,,,
E1EDP05.KOTXT,Condition text,,,
E1EDP05.BETRG,Fixed surcharge/discount on to,,,
E1EDP05.KRATE,Condition record per unit,,,
E1EDP05.UPRBS,Price unit,,,
E1EDP05.MEAUN,Unit of measurement,,,
E1EDP05.KOEIN,Currency,,,
E1EDP05.KOBAS,Base value to which condition,,,
E1EDP04.MWSKZ,VAT indicator,,,
E1EDP04.MSATZ,VAT rate,,,
E1EDP04.MWSBT,Value added tax amount,,,
E1EDP04.TXDAT,Date for defining tax rates,,,
E1EDP28.SEGNUM,Segment Number,,,
E1EDP28.SEGNAM,Segment Name,,,
E1EDP28.STAWN,Commodity Code,,,
E1EDP28.HERKL,Country of Origin of Material,,,
E1EDS01.SUMID,Qualifier for totals segment f,,,
E1EDS01.SUMME,Total value of sum segment,,,
E1EDS01.SUMID,Qualifier for totals segment f,,,
E1EDS01.SUMME,Total value of sum segment,,,
E1EDS01.WAERQ,Currency,,,
E1EDS01.SUMID,Qualifier for totals segment f,,,
E1EDS01.SUMME,Total value of sum segment,,,
E1EDS01.WAERQ,Currency,,,
E1EDS01.SUMID,Qualifier for totals segment f,,,
E1EDS01.SUMME,Total value of sum segment,,,
E1EDS01.WAERQ,Currency,,,
E1EDS01.SUMID,Qualifier for totals segment f,,,
E1EDS01.SUMME,Total value of sum segment,,,
E1EDS01.WAERQ,Currency,,,
-,EDIDS,Status Records,,,
-,EDIDS,Status Record Number,,,
-,STATUS,Status Value,,,
-,LOGDAT,Logged On,,,
-,LOGTIM,Logged At,,,
-,CREDAT,Database Changed On,,,
-,CRETIM,Database Changed At,,,
-,UNAME,Last Edited By,,,
-,REPID,Status set by program,,,
-,ROUTID,Status set by program,,,
-,EDIDS,Status Record Number,,,
-,STATUS,Status Value,,,
-,STAMQU/STAMID/STAMNO,Status Code,,,
-,STATXT,Message,,,
-,STAPA1,Parameter1,,,
-,STAPA2,Parameter2,,,
-,STAPA3,Parameter3,,,
-,STAPA4,Parameter4,,,
-,LOGDAT,Logged On,,,
-,LOGTIM,Logged At,,,
-,CREDAT,Database Changed On,,,
-,CRETIM,Database Changed At,,,
-,UNAME,Last Edited By,,,
-,REPID,Status set by program,,,
-,ROUTID,Status set by program,,,
-,EDIDS,Status Record Number,,,
-,STATUS,Status Value,,,
-,STAMQU/STAMID/STAMNO,Status Code,,,
-,STATXT,Message,,,
-,STAPA1,Parameter1,,,
-,LOGDAT,Logged On,,,
-,LOGTIM,Logged At,,,
-,CREDAT,Database Changed On,,,
-,CRETIM,Database Changed At,,,
-,UNAME,Last Edited By,,,
-,REPID,Status set by program,,,
-,ROUTID,Status set by program,,,
